"","Datum","Brunsbüttel (FSRU)","Baltic Energy Gate (Port)","Wilhelmshaven, LNG-Terminal 1"
"1",2022-12-20,NA,NA,0.02279
"2",2022-12-21,NA,NA,44.577326
"3",2022-12-22,NA,0,44.786631
"4",2022-12-23,NA,0,48.754135
"5",2022-12-24,NA,0,100.323735
"6",2022-12-25,NA,0,102.199677
"7",2022-12-26,NA,0,105.999346
"8",2022-12-27,NA,0,40.290702
"9",2022-12-28,NA,0,100.718541
"10",2022-12-29,NA,0,153.350705
"11",2022-12-30,NA,0,146.388934
"12",2022-12-31,NA,0,28.552724
"13",2023-01-01,NA,0,16.881889
"14",2023-01-02,NA,0,29.073261
"15",2023-01-03,NA,0,52.839938
"16",2023-01-04,NA,0,101.009617
"17",2023-01-05,NA,0,100.85208
"18",2023-01-06,NA,0,99.672515
"19",2023-01-07,NA,0,15.673736
"20",2023-01-08,NA,0,16.91004
"21",2023-01-09,NA,18.478752,134.87573
"22",2023-01-10,NA,18.478752,135.347562
"23",2023-01-11,NA,18.478752,148.300171
"24",2023-01-12,NA,18.478752,120.854796
"25",2023-01-13,NA,18.478752,133.472184
"26",2023-01-14,NA,18.478752,16.987681
"27",2023-01-15,NA,18.478752,18.01786
"28",2023-01-16,NA,18.478752,134.805959
"29",2023-01-17,NA,18.478752,135.004065
"30",2023-01-18,NA,18.478752,134.525318
"31",2023-01-19,NA,18.478752,134.318179135
"32",2023-01-20,NA,18.478752,134.73149
"33",2023-01-21,NA,18.478752,125.035689
"34",2023-01-22,NA,18.478752,125.099784
"35",2023-01-23,NA,18.478752,124.099461
"36",2023-01-24,NA,18.478752,153.039049
"37",2023-01-25,NA,18.478752,144.356906
"38",2023-01-26,NA,18.478752,124.282752
"39",2023-01-27,NA,18.478752,124.321617
"40",2023-01-28,NA,18.478752,118.360569
"41",2023-01-29,NA,18.478752,118.454472
"42",2023-01-30,NA,18.478752,116.802196
"43",2023-01-31,NA,18.478752,120.329163
"44",2023-02-01,0,9.330398,127.299726
"45",2023-02-02,0,17.45913,127.012145
"46",2023-02-03,0,0.888,120.215397
"47",2023-02-04,0,24.185,0.004258
"48",2023-02-05,0,44.146,0
"49",2023-02-06,0,44.016,22.27717
"50",2023-02-07,0,44.575,159.593252
"51",2023-02-08,0,33.796,152.137434
"52",2023-02-09,0,24.607,156.808167
"53",2023-02-10,0,27.886,155.831496
"54",2023-02-11,0,26.622,156.74198
"55",2023-02-12,0,26.832,155.811395
"56",2023-02-13,0,59.46,155.568864
"57",2023-02-14,0,35.632,155.797797
"58",2023-02-15,0,35.843,155.976355
"59",2023-02-16,0,35.924,118.232381
"60",2023-02-17,0,35.253,92.632043
"61",2023-02-18,0,42.24,151.856218
"62",2023-02-19,0,22.273,151.653526
"63",2023-02-20,0,24.583,151.729731
"64",2023-02-21,0,24.33,151.726044
"65",2023-02-22,0,25.328,151.707975
"66",2023-02-23,0,40.527,151.851304
"67",2023-02-24,0,26.522,151.470316
"68",2023-02-25,0,21.82,150.22001
"69",2023-02-26,0,24.61,150.161988
"70",2023-02-27,0,26.949,135.407693
"71",2023-02-28,0,36.666,131.505632
"72",2023-03-01,0,80.476636,131.354432
"73",2023-03-02,0,27.976525,131.353107
"74",2023-03-03,0,30.715402,131.535605
"75",2023-03-04,0,41.802183,131.821586
"76",2023-03-05,0,35.591475,52.014233
"77",2023-03-06,0,30.791978,50.226609
"78",2023-03-07,0,27.190857,51.73945
"79",2023-03-08,0,27.223679,51.701947
"80",2023-03-09,0,39.120985,52.35255
"81",2023-03-10,0,24.800065,107.342558
"82",2023-03-11,0,24.477839,37.991982
"83",2023-03-12,0,24.509664,23.934027
"84",2023-03-13,0,24.931335,107.242031
"85",2023-03-14,0,14.912658,138.05238
"86",2023-03-15,0,29.295244,149.496651
"87",2023-03-16,0,30.720374,151.173198
"88",2023-03-17,0,35.413461,151.63716
"89",2023-03-18,0,77.941632,104.50623
"90",2023-03-19,0,83.87686,104.240931
"91",2023-03-20,0,81.387605,99.819626
"92",2023-03-21,0,75.90687,122.59308
"93",2023-03-22,13.800661,71.401743,123.013782
"94",2023-03-23,29.811466,75.054575,123.040686
"95",2023-03-24,42.496862,85.434846,123.330289
"96",2023-03-25,63.590722,35.139967,135.647547
"97",2023-03-26,74.737895,36.268737,0.003591
"98",2023-03-27,70.314738,35.06936,0.000103
"99",2023-03-28,70.586177,35.010684,60.368338
"100",2023-03-29,47.321487,31.317077,151.427876
"101",2023-03-30,38.840058,32.165396,138.66024
"102",2023-03-31,47.840907,34.831673,118.507376
"103",2023-04-01,44.604248,23.631958,151.484042
"104",2023-04-02,47.414023,24.111573,151.538623
"105",2023-04-03,47.945108,27.802618,151.657573
"106",2023-04-04,44.955921,19.347223,151.604431
"107",2023-04-05,48.064511,23.88823,151.701312
"108",2023-04-06,72.180363,29.845191,151.804521
"109",2023-04-07,60.648387,24.07662,148.642237
"110",2023-04-08,60.529166,35.804818,150.879192
"111",2023-04-09,57.989227,50.667437,150.661639
"112",2023-04-10,54.094323,58.946987,148.503441
"113",2023-04-11,48.218264,58.621234,148.531437
"114",2023-04-12,58.288872,36.065962,148.458626
"115",2023-04-13,59.516884,35.445368,106.794555
"116",2023-04-14,57.588888,35.623091,151.4905
"117",2023-04-15,55.594745,35.314092,139.807242
"118",2023-04-16,57.376234,35.328705,126.44062
"119",2023-04-17,61.485085,33.179698,144.953416
"120",2023-04-18,59.434282,35.407704,108.020093
"121",2023-04-19,61.205361,35.464127,126.271648
"122",2023-04-20,61.30407,35.541576,128.054681
"123",2023-04-21,59.525062,30.674503,125.983426
"124",2023-04-22,58.296759,28.66457,149.947722
"125",2023-04-23,58.477591,30.917937,150.18974
"126",2023-04-24,57.764259,24.482672,150.222781
"127",2023-04-25,60.719005,23.981603,145.794871
"128",2023-04-26,61.062612,25.718099,129.392529
"129",2023-04-27,25.166407,59.076051,134.791937
"130",2023-04-28,23.706107,58.674747,148.782685
"131",2023-04-29,22.454594,80.597723,95.891301
"132",2023-04-30,22.474517,79.771473,127.161807
"133",2023-05-01,22.553767,80.218,127.341235
"134",2023-05-02,19.676589,79.609,125.922759
"135",2023-05-03,23.166536,81.646,124.89669
"136",2023-05-04,41.239315,81.984,125.827329
"137",2023-05-05,50.363708,36.087,121.491166
"138",2023-05-06,50.384886,36.072,124.58607
"139",2023-05-07,50.580167,36.058,123.927012
"140",2023-05-08,49.942086,36.025,128.7321
"141",2023-05-09,49.885224,24.101,128.990019
"142",2023-05-10,50.307594,35.801,129.041097
"143",2023-05-11,51.236066,36.2,97.855961
"144",2023-05-12,33.304516,60.093,152.825468
"145",2023-05-13,33.270415,60.647,151.688402
"146",2023-05-14,33.245267,60.412,134.204301
"147",2023-05-15,33.22085,81.926,106.31318
"148",2023-05-16,33.47343,66.151,149.70739
"149",2023-05-17,33.488535,25.548,122.201899
"150",2023-05-18,33.507136,31.266,121.489692
"151",2023-05-19,66.640274,39.016,121.30302
"152",2023-05-20,66.784019,60.8,106.356141
"153",2023-05-21,66.671511,60.665,96.8329
"154",2023-05-22,64.275839,82.406,123.06957
"155",2023-05-23,66.589349,82.578,148.064041
"156",2023-05-24,65.077491,60.702,133.845378
"157",2023-05-25,66.607018,60.672,127.949278
"158",2023-05-26,40.881174,49.924,107.893229
"159",2023-05-27,67.528429,46.508,148.924458
"160",2023-05-28,67.745049,47.97,127.8511
"161",2023-05-29,67.737125,46.389,128.061432
"162",2023-05-30,67.96267,57.95,128.061186
"163",2023-05-31,59.380052,71.578,79.497387
"164",2023-06-01,67.822329,81.986388,124.811398
"165",2023-06-02,66.80847,81.728742,103.30578
"166",2023-06-03,71.037468,66.722993,148.403941
"167",2023-06-04,68.209941,77.791971,127.005249
"168",2023-06-05,59.185603,81.934393,128.244119
"169",2023-06-06,39.590676,36.046221,124.776662
"170",2023-06-07,40.598981,36.046221,127.469813
"171",2023-06-08,48.762482,36.041963,126.67271
"172",2023-06-09,48.745533,35.947914,151.331526
"173",2023-06-10,48.720103,35.947914,124.867102
"174",2023-06-11,48.314352,35.970418,125.914066
"175",2023-06-12,48.018558,36.054794,127.285899
"176",2023-06-13,48.050093,46.065439,124.065902
"177",2023-06-14,49.219334,59.95322,83.045832
"178",2023-06-15,29.258339,59.967632,151.694774
"179",2023-06-16,58.788374,61.798399,134.88244
"180",2023-06-17,64.820518,63.011356,123.825727
"181",2023-06-18,57.444769,97.174645,123.92212
"182",2023-06-19,56.49269,97.014635,124.093124
"183",2023-06-20,58.011238,60.123334,124.14773
"184",2023-06-21,51.698657,60.443101,123.933637
"185",2023-06-22,51.15045,24.523916,123.853959
"186",2023-06-23,51.175556,24.270593,119.769627
"187",2023-06-24,34.523346,24.34648,130.795801
"188",2023-06-25,46.085902,24.434036,128.226597
"189",2023-06-26,56.1749,24.532737,128.557229
"190",2023-06-27,60.40336,24.653253,133.513838
"191",2023-06-28,60.421671,24.671157,145.305071
"192",2023-06-29,60.43649,25.708221,120.963392
"193",2023-06-30,55.610227,24.761216,113.26637
"194",2023-07-01,48.945993,24.651223,115.217581
"195",2023-07-02,53.753139,24.829047,115.487226
"196",2023-07-03,49.878705,23.596038,117.427469
"197",2023-07-04,50.01946,24.832315,126.028727
"198",2023-07-05,49.857718,24.798659,116.759927
"199",2023-07-06,49.845736,24.754537,132.41637
"200",2023-07-07,49.912035,24.836733,129.132711
"201",2023-07-08,49.784446,24.896866,109.526128
"202",2023-07-09,49.758355,8.423936,99.572558
"203",2023-07-10,50.157099,0,113.219259
"204",2023-07-11,8.856213,0,106.654576
"205",2023-07-12,50.330226,0,151.96128
"206",2023-07-13,60.36401,0,122.578054
"207",2023-07-14,60.439655,1.140796,125.491477
"208",2023-07-15,37.251161,24.778748,96.099099
"209",2023-07-16,37.187748,10.621849,96.01485
"210",2023-07-17,52.434808,24.77289,120.084282
"211",2023-07-18,37.635751,24.633242,125.690173
"212",2023-07-19,43.564393,24.542561,124.919476
"213",2023-07-20,43.789009,24.587908,123.563245
"214",2023-07-21,45.939959,24.578489,99.731527
"215",2023-07-22,41.217888,24.61177,141.786248
"216",2023-07-23,41.226412,24.566888,135.807413
"217",2023-07-24,43.906382,23.886709,128.772604
"218",2023-07-25,43.883957,24.674159,128.948765
"219",2023-07-26,43.793448,23.860186,128.953855
"220",2023-07-27,43.744928,23.292575,48.196907
"221",2023-07-28,43.846494,24.034274,0
"222",2023-07-29,43.828867,23.902636,45.708905
"223",2023-07-30,43.857601,24.482838,58.990975
"224",2023-07-31,43.943145,24.211994,98.572523
"225",2023-08-01,43.917349,23.931124,150.97646
"226",2023-08-02,43.801981,48.500774,151.024539
"227",2023-08-03,41.383579,48.235901,150.885977
"228",2023-08-04,50.394056,48.283858,150.944267
"229",2023-08-05,42.955696,24.065844,152.579931
"230",2023-08-06,43.343387,24.163636,142.776197
"231",2023-08-07,40.408972,23.848254,144.82859
"232",2023-08-08,20.486416,23.098989,152.243153
"233",2023-08-09,9.690273,23.086536,154.995639
"234",2023-08-10,0.024149,0.456888,149.757039
"235",2023-08-11,1.576816,0.49687,136.341631
"236",2023-08-12,48.405066,0.991459,151.632253
"237",2023-08-13,42.995628,23.260357,150.655613
"238",2023-08-14,45.672572,23.249917,150.951264
"239",2023-08-15,57.148095,23.454259,150.852375
"240",2023-08-16,59.172969,23.761703,150.952633
"241",2023-08-17,45.836313,23.819934,151.048054
"242",2023-08-18,55.38723,23.816805,152.321446
"243",2023-08-19,50.764159,23.793699,141.355379
"244",2023-08-20,50.667985,24.004013,26.87081
"245",2023-08-21,55.630356,23.89392,146.915552
"246",2023-08-22,55.632352,24.002898,148.367804
"247",2023-08-23,55.557923,24.032412,148.369682
"248",2023-08-24,60.115232,24.029908,150.89267
"249",2023-08-25,59.986613,23.973136,152.301027
"250",2023-08-26,50.685552,24.123974,149.916957
"251",2023-08-27,50.616156,23.980185,150.036824
"252",2023-08-28,48.331914,23.997326,143.412124
"253",2023-08-29,52.404916,24.067711,0.002929
"254",2023-08-30,55.512099,24.090283,0.001289
"255",2023-08-31,46.292282,23.54068,0
"256",2023-09-01,46.064803,23.606142,0
"257",2023-09-02,45.15345,23.423468,0.098932
"258",2023-09-03,46.246734,23.686769,24.060205
"259",2023-09-04,46.323368,23.168183,143.179181
"260",2023-09-05,46.259654,26.610573,148.842183
"261",2023-09-06,46.349723,26.39439,148.179626
"262",2023-09-07,46.13708,23.190111,129.48964
"263",2023-09-08,46.225861,23.378891,121.239974
"264",2023-09-09,46.203174,23.008848,104.763115
"265",2023-09-10,45.256749,23.298137,0.023282
"266",2023-09-11,35.558433,23.150382,66.62853
"267",2023-09-12,35.379305,23.397571,168.476997
"268",2023-09-13,35.382148,23.096136,174.672504
"269",2023-09-14,34.567507,23.228163,173.041731
"270",2023-09-15,34.019146,23.267652,172.119478
"271",2023-09-16,23.241834,23.250854,154.434832
"272",2023-09-17,23.153726,23.253665,161.996494
"273",2023-09-18,32.775358,23.226559,139.182591
"274",2023-09-19,33.945885,23.298675,143.466547
"275",2023-09-20,28.896449,23.324914,143.109473
"276",2023-09-21,21.060806,23.124325,155.414445
"277",2023-09-22,21.89081,7.648505,164.160098
"278",2023-09-23,21.820976,0.898834,87.998159
"279",2023-09-24,22.0009,18.219724,140.418061
"280",2023-09-25,22.918528,30.186874,142.029859
"281",2023-09-26,27.935102,24.771852,139.946666
"282",2023-09-27,52.462875,23.488702,144.319239
"283",2023-09-28,50.647964,24.80615,149.844732
"284",2023-09-29,48.370946,24.084713,137.172554
"285",2023-09-30,50.79578,24.089676,144.937318
"286",2023-10-01,55.605566,30.823557,150.436784
"287",2023-10-02,52.419771,30.781644,151.376825
"288",2023-10-03,55.449509,30.797087,151.341979
"289",2023-10-04,58.539493,30.787551,151.665341
"290",2023-10-05,55.563744,30.79926,151.645667
"291",2023-10-06,54.766696,30.870577,151.898903
"292",2023-10-07,55.59997,23.933215,152.994229
"293",2023-10-08,55.592144,23.901591,130.681596
"294",2023-10-09,55.495563,23.910848,125.646781
"295",2023-10-10,55.617864,23.945491,128.301356
"296",2023-10-11,52.176897,23.883301,128.302815
"297",2023-10-12,23.347215,23.970652,137.18851
"298",2023-10-13,33.568001,24.167601,135.672076
"299",2023-10-14,65.657051,24.161898,137.965103
"300",2023-10-15,65.786705,24.277827,114.631352
"301",2023-10-16,66.018143,24.233647,127.960441
